JobCode,Job_Function,Band,Level,Band_Level,SalaryOrgCount,SalaryIncCount,Salary25th,SalaryAvg,Salary50th,Salary75th,Salary_PerfIncentiveOrgCount,Salary_PerfIncentiveIncCount,Salary_PerfIncentive25th,Salary_PerfIncentiveAvg,Salary_PerfIncentive50th,Salary_PerfIncentive75th,PerfIncentive_PctofSalary_OrgCount,PerfIncentive_PctofSalary_IncumbentCount,PerfIncentive_PctOfSalary25th,PerfIncentive_PctOfSalaryAvg,PerfIncentive_PctOfSalary50th,PerfIncentive_PctOfSalary75th,,,,
AAO-T1,AAO,T,1,T1,47,410,43861.07,52805.32,50988.82,57786.41,29,205,45292.93,54952.49,55375.63,61061.94,30,186,3.39208%,3.91094%,3.69036%,5.39122%,,,,
AAO-T2,AAO,T,2,T2,45,533,53313.72,52077.61,50333.01,70052.10,31,289,55330.70,55230.22,54987.21,74261.43,28,268,4.11715%,5.85179%,5.73593%,6.01908%,,,,
AAO-T3,AAO,T,3,T3,53,533,53427.17,77004.83,76196.28,82592.44,40,310,56365.37,82333.14,81435.71,89892.60,42,314,4.37162%,5.67098%,5.94966%,7.41018%,,,,
AAO-T4,AAO,T,4,T4,52,735,69576.55,93772.01,92909.31,107056.01,47,576,74379.88,102029.39,103376.18,122188.64,41,479,6.95741%,9.11045%,8.11024%,13.41550%,,,,
AAO-T5,AAO,T,5,T5,41,478,93717.42,110562.57,111590.80,141775.05,36,327,104673.44,124224.18,124845.31,160943.98,36,360,10.69562%,12.56116%,11.50601%,13.64193%,,,,
AAP-A1,AAP,A,1,A1,26,308,29450.27,37863.59,37318.36,39273.73,6,60,30391.10,39504.21,38777.34,41159.19,5,62,3.41563%,4.15274%,3.86470%,5.12470%,,,,
AAP-A2,AAP,A,2,A2,25,211,34637.77,46102.46,45337.16,47641.75,7,49,35891.05,48267.77,49035.23,50750.94,7,57,3.94405%,4.77309%,4.55742%,7.04011%,,,,
AAP-A3,AAP,A,3,A3,24,315,40159.56,43911.73,42734.90,54139.72,8,59,41721.17,45871.58,44990.84,57931.97,8,62,3.89905%,4.86765%,4.92767%,6.79395%,,,,
AAP-A4,AAP,A,4,A4,22,285,49028.68,54426.42,53158.29,56934.07,6,62,51070.75,57271.46,56664.39,60989.53,6,67,4.58858%,5.49377%,5.10703%,7.32978%,,,,
AAP-A5,AAP,A,5,A5,18,212,58867.94,55482.20,56491.98,60630.69,5,54,61875.67,58485.96,58544.45,65888.99,5,51,5.15257%,5.69347%,5.07200%,8.43481%,,,,
AAP-L1,AAP,L,1,L1,20,228,80022.62,92021.96,90834.87,93150.63,16,161,85376.07,99202.39,98716.29,101982.46,16,161,6.10788%,7.66741%,7.76712%,8.84816%,,,,
AAP-L2,AAP,L,2,L2,23,261,95860.00,108212.56,107920.39,120842.31,20,232,103291.42,118611.62,120651.74,133660.10,20,232,7.81779%,9.20819%,9.34538%,10.03695%,,,,
AAP-L3,AAP,L,3,L3,26,355,109279.17,126679.34,125969.93,150704.44,24,263,120374.28,143627.30,143885.83,180042.45,24,263,9.87714%,13.01116%,13.24060%,17.93456%,,,,
AAP-L4,AAP,L,4,L4,25,286,149976.60,173324.98,173013.00,170433.55,22,228,169662.98,207088.59,200627.42,203651.68,22,228,13.79682%,18.99000%,18.14000%,20.89000%,,,,
AAP-L5,AAP,L,5,L5,12,28,165727.61,226276.81,226231.55,201186.06,11,24,199538.96,276058.19,271530.83,258901.33,11,24,20.06073%,22.62000%,23.08000%,30.97000%,,,,
AAP-O1,AAP,O,1,O1,23,322,23442.68,29082.76,29312.51,29363.69,5,59,23982.69,30283.60,30428.96,30808.37,5,59,2.70010%,3.32560%,3.32030%,4.10840%,,,,
AAP-O2,AAP,O,2,O2,24,183,26253.25,33360.72,33807.76,35234.42,6,49,26960.52,34769.21,35419.39,37500.85,6,49,3.42740%,3.93680%,3.92580%,5.61860%,,,,
AAP-O3,AAP,O,3,O3,25,265,29143.70,34923.00,35349.07,40718.84,7,61,30339.33,36594.58,36634.83,42810.76,7,61,3.40960%,4.22980%,4.22900%,5.44330%,,,,
AAP-O4,AAP,O,4,O4,21,267,35845.39,42102.30,42047.56,43179.96,6,66,37309.65,43397.00,42598.50,46320.60,6,66,3.83510%,4.39150%,4.38270%,6.02510%,,,,
AAP-O5,AAP,O,5,O5,16,195,43389.6435,47227.4266,46268.71,51362.2922,5,55,48583.19,52933.68,51668.56,56127.52,,,,,,,,,,
AAP-P1,AAP,P,1,P1,24,220,46413.91,59010.97,58054.99,61686.83,14,134,48263.56,61524.70,62195.31,65535.08,14,134,3.91620%,4.66210%,4.64210%,5.98520%,,,,
AAP-P2,AAP,P,2,P2,24,293,62257.66,67537.43,67226.76,82919.17,15,147,66471.89,72854.91,72942.34,90752.41,15,147,5.65550%,6.62080%,6.62150%,9.20420%,,,,
AAP-P3,AAP,P,3,P3,26,370,67874.68,89116.40,86888.49,93640.93,20,267,71361.65,94831.57,92621.99,101366.18,20,267,5.41060%,6.94290%,6.96580%,8.48490%,,,,
AAP-P4,AAP,P,4,P4,27,379,94423.05,108913.53,106473.86,126045.10,22,269,103059.87,121225.13,120982.68,143051.72,22,269,8.80190%,10.90700%,10.98230%,13.46690%,,,,
AAP-P5,AAP,P,5,P5,21,201,137810.26,146077.80,147611.62,183658.88,18,132,157540.09,161143.47,159322.55,217019.85,18,132,12.18652%,14.26829%,14.53082%,18.09936%,,,,
AAP-T1,AAP,T,1,T1,21,172,40979.02,51062.41,51527.08,54393.29,11,132,42387.53,52885.31,52213.67,57302.31,11,115,3.28099%,3.88586%,3.74664%,5.28733%,,,,
AAP-T2,AAP,T,2,T2,20,255,45506.88,54827.97,55474.94,65917.73,15,134,47287.80,57911.16,57992.23,70929.09,12,140,4.18111%,5.59987%,5.37136%,7.22530%,,,,
AAP-T3,AAP,T,3,T3,23,310,54459.40,71115.42,69693.11,69089.53,17,250,57472.45,75148.02,75163.05,74940.83,15,219,4.41613%,5.12872%,5.45144%,7.48708%,,,,
AAP-T4,AAP,T,4,T4,22,357,79396.66,76338.20,73941.18,99006.41,21,262,85105.37,83463.07,85257.53,110175.95,19,218,7.41532%,9.18364%,9.24808%,10.44186%,,,,
AAP-T5,AAP,T,5,T5,19,158,99699.53,106461.91,108005.61,132165.88,17,124,110665.41,118179.19,116394.68,154732.83,17,127,9.95402%,11.21011%,11.31360%,15.73131%,,,,
AAQ-A1,AAQ,A,1,A1,65,1037,26664.83,33576.67,34127.33,37057.18,14,203,27492.21,34665.04,35403.41,38764.81,12,214,3.10008%,3.43120%,3.71645%,4.63359%,,,,
AAQ-A2,AAQ,A,2,A2,66,623,32552.22,39395.70,38170.49,40251.99,16,147,33655.10,41048.33,40970.34,42294.46,17,158,3.51639%,4.53020%,4.16407%,4.94998%,,,,
AAQ-A3,AAQ,A,3,A3,69,845,36133.97,43079.00,42596.51,50685.51,18,213,37558.90,45112.29,45279.20,54088.77,17,234,3.90556%,4.56163%,4.52041%,6.82781%,,,,
AAQ-A4,AAQ,A,4,A4,61,767,44986.76,56372.02,54782.33,59846.46,15,148,46831.86,58991.97,58986.07,63605.91,18,147,4.26965%,4.81218%,4.98570%,6.30324%,,,,
AAQ-A5,AAQ,A,5,A5,46,642,51624.65,59151.87,57442.38,66718.00,13,123,53984.21,62182.77,63264.75,71396.28,16,125,4.88260%,5.36818%,5.67892%,6.72423%,,,,
AAQ-L1,AAQ,L,1,L1,52,670,68270.13,82429.72,82034.05,86048.73,41,513,72390.14,88684.68,88081.62,93342.32,41,513,5.93858%,7.24132%,7.22172%,8.85399%,,,,
AAQ-L2,AAQ,L,2,L2,59,670,87761.55,100925.37,101995.17,120350.81,52,510,93548.20,108951.65,105933.69,134364.15,52,510,6.95519%,8.38880%,8.30907%,11.72840%,,,,
AAQ-L3,AAQ,L,3,L3,67,753,103075.00,112285.43,113408.28,136631.85,62,619,113933.42,125826.20,121925.59,157007.34,62,619,10.88636%,12.15076%,11.54848%,15.77400%,,,,
AAQ-L4,AAQ,L,4,L4,63,725,133972.93,157978.15,157741.18,163423.88,58,542,152325.10,184069.03,183351.16,201278.00,58,542,14.76918%,17.00000%,16.29000%,23.11000%,,,,
AAQ-L5,AAQ,L,5,L5,30,87,158629.32,183716.13,181364.57,177624.20,28,70,186080.61,223392.18,224620.84,220765.78,28,70,17.94412%,20.71000%,20.15000%,26.15000%,,,,
AAQ-O1,AAQ,O,1,O1,60,1008,21238.95,25934.58,26123.90,27310.67,13,185,22118.90,26872.01,26920.38,28514.73,13,185,2.54570%,2.92470%,2.96770%,3.78490%,,,,
AAQ-O2,AAQ,O,2,O2,62,558,24507.61,29206.46,28677.82,30802.71,16,140,25494.44,30510.92,30028.84,31639.51,16,140,2.81050%,3.65050%,3.65420%,4.15650%,,,,
AAQ-O3,AAQ,O,3,O3,64,845,27263.31,33008.80,32203.39,36870.12,18,217,27679.09,34663.09,34274.87,39136.69,18,217,3.39490%,3.91610%,3.89610%,5.49040%,,,,
AAQ-O4,AAQ,O,4,O4,54,646,33254.58,40108.15,40023.92,42113.91,16,148,34376.65,41691.87,42383.96,44075.37,16,148,3.52680%,4.02050%,3.99880%,5.18120%,,,,
AAQ-O5,AAQ,O,5,O5,41,444,36769.9857,48672.91,47178.65,51197.9917,10,115,42389.22,56724.43,56735.78,59934.41,11,97,4.21135%,4.79083%,4.56943%,5.83403%,,,,
AAQ-P1,AAQ,P,1,P1,62,613,43204.32,53515.16,54296.49,54411.23,37,347,44764.24,55759.69,56289.41,57080.78,37,347,3.74850%,4.29380%,4.33420%,4.95980%,,,,
AAQ-P2,AAQ,P,2,P2,61,752,56412.24,63990.47,61878.78,73365.05,38,393,59530.69,68566.48,66907.17,78940.86,38,393,4.84830%,6.00260%,6.09440%,6.82740%,,,,
AAQ-P3,AAQ,P,3,P3,67,732,63928.20,76854.73,78238.11,93174.54,51,504,67270.42,81282.05,81330.82,101042.98,51,504,5.36710%,6.30750%,6.38260%,8.39530%,,,,
AAQ-P4,AAQ,P,4,P4,69,903,81246.26,99083.83,99004.57,109351.95,57,672,87781.43,109134.28,111262.40,120203.10,57,672,8.02600%,10.05390%,10.15750%,10.95270%,,,,
AAQ-P5,AAQ,P,5,P5,54,515,118041.36,131048.86,133407.74,157890.64,46,419,133448.33,152774.81,155265.04,186452.25,46,419,10.89600%,13.03818%,13.00951%,17.67069%,,,,
AAQ-T1,AAQ,T,1,T1,50,568,39540.82,48406.69,47215.89,44429.01,34,335,40731.60,49903.96,50303.19,46341.97,34,265,2.96994%,3.39081%,3.71614%,4.13647%,,,,
AAQ-T2,AAQ,T,2,T2,50,733,46293.55,50640.79,49602.65,61335.31,32,317,48081.42,53092.76,52168.95,64975.72,36,367,3.93924%,4.82069%,5.32955%,6.01221%,,,,
AAQ-T3,AAQ,T,3,T3,60,625,46585.46,60045.35,59516.95,71644.77,49,431,49093.41,63900.86,61932.71,76971.47,47,480,4.60766%,5.45914%,5.54329%,6.90346%,,,,
AAQ-T4,AAQ,T,4,T4,54,734,60992.22,70778.11,72002.57,79983.30,45,563,64811.36,76541.79,76411.67,86288.40,44,632,6.11923%,7.96463%,7.59652%,7.68303%,,,,
AAQ-T5,AAQ,T,5,T5,41,462,87351.03,102520.71,103586.92,116023.95,42,359,95053.42,112907.77,111078.66,132325.33,40,351,9.19426%,10.06563%,9.82624%,12.79489%,,,,
AAR-A1,AAR,A,1,A1,,,,,,,,,,,,,,,,,,,,,,
AAR-A2,AAR,A,2,A2,,,,,,,,,,,,,,,,,,,,,,
AAR-A3,AAR,A,3,A3,,,,,,,,,,,,,,,,,,,,,,
AAR-A4,AAR,A,4,A4,,,,,,,,,,,,,,,,,,,,,,
AAR-A5,AAR,A,5,A5,,,,,,,,,,,,,,,,,,,,,,
AAR-L1,AAR,L,1,L1,,,,,,,,,,,,,,,,,,,,,,
AAR-L2,AAR,L,2,L2,,,,,,,,,,,,,,,,,,,,,,
AAR-L3,AAR,L,3,L3,,,,,,,,,,,,,,,,,,,,,,
AAR-L4,AAR,L,4,L4,,,,,,,,,,,,,,,,,,,,,,
AAR-L5,AAR,L,5,L5,,,,,,,,,,,,,,,,,,,,,,
AAR-O1,AAR,O,1,O1,,,,,,,,,,,,,,,,,,,,,,
AAR-O2,AAR,O,2,O2,,,,,,,,,,,,,,,,,,,,,,
AAR-O3,AAR,O,3,O3,,,,,,,,,,,,,,,,,,,,,,
AAR-O4,AAR,O,4,O4,,,,,,,,,,,,,,,,,,,,,,
AAR-O5,AAR,O,5,O5,,,,,,,,,,,,,,,,,,,,,,
AAR-P1,AAR,P,1,P1,,,,,,,,,,,,,,,,,,,,,,
AAR-P2,AAR,P,2,P2,,,,,,,,,,,,,,,,,,,,,,
AAR-P3,AAR,P,3,P3,,,,,,,,,,,,,,,,,,,,,,
AAR-P4,AAR,P,4,P4,,,,,,,,,,,,,,,,,,,,,,
AAR-P5,AAR,P,5,P5,,,,,,,,,,,,,,,,,,,,,,
AAR-T1,AAR,T,1,T1,,,,,,,,,,,,,,,,,,,,,,
AAR-T2,AAR,T,2,T2,,,,,,,,,,,,,,,,,,,,,,
AAR-T3,AAR,T,3,T3,,,,,,,,,,,,,,,,,,,,,,
AAR-T4,AAR,T,4,T4,,,,,,,,,,,,,,,,,,,,,,
AAR-T5,AAR,T,5,T5,,,,,,,,,,,,,,,,,,,,,,
AAS-A1,AAS,A,1,A1,47,597,33555.88,41738.48,40582.33,40055.37,9,116,34860.16,43617.37,43844.18,42420.36,9,105,3.73918%,4.66581%,4.26992%,5.61032%,,,,
AAS-A2,AAS,A,2,A2,43,401,43380.08,46246.92,45765.95,50001.49,13,91,45110.35,48636.45,48106.31,53096.89,11,99,4.29948%,5.08103%,5.42627%,6.76348%,,,,
AAS-A3,AAS,A,3,A3,50,523,45155.38,52868.33,53830.54,62790.06,12,137,46978.04,55664.67,54044.83,66909.03,12,126,4.28402%,5.54370%,5.55362%,6.59950%,,,,
AAS-A4,AAS,A,4,A4,43,365,49265.75,62735.60,60941.36,73674.69,10,111,51243.56,66281.78,65241.16,78947.36,11,97,4.36034%,5.76795%,5.90943%,7.01636%,,,,
AAS-A5,AAS,A,5,A5,35,292,54063.40,68138.32,67034.48,88012.86,7,93,56439.91,72162.71,70964.81,93927.15,9,73,4.68284%,5.74701%,5.81854%,7.02246%,,,,
AAS-L1,AAS,L,1,L1,35,352,88329.41,97852.96,99673.02,108332.51,28,256,94497.92,106363.89,106853.16,120596.17,28,256,6.76762%,8.53957%,8.69157%,11.50450%,,,,
AAS-L2,AAS,L,2,L2,40,445,104643.10,122524.06,120147.10,143633.36,36,303,113471.05,135225.45,135455.33,162499.27,36,303,8.01377%,9.87280%,9.82051%,13.71133%,,,,
AAS-L3,AAS,L,3,L3,46,649,116997.26,145780.36,145313.86,159839.16,43,604,130068.83,164912.73,162570.97,186645.83,43,604,11.39787%,13.43180%,14.43560%,16.87340%,,,,
AAS-L4,AAS,L,4,L4,43,427,166432.02,191285.78,185910.65,216004.96,39,337,192406.92,229660.99,225067.77,261916.97,39,337,17.27002%,19.54000%,20.65000%,21.68000%,,,,
AAS-L5,AAS,L,5,L5,20,54,206559.08,237244.14,239948.72,270443.60,19,44,251902.78,292543.38,296931.53,344263.76,19,44,21.19730%,25.79000%,25.05000%,28.33000%,,,,
AAS-O1,AAS,O,1,O1,41,534,25974.71,30980.86,31334.04,32839.23,9,111,26950.29,32093.63,32250.89,34630.38,9,111,3.07990%,3.68900%,3.66130%,4.92220%,,,,
AAS-O2,AAS,O,2,O2,42,410,31962.16,34210.80,34180.01,38054.45,11,93,33217.36,35847.53,36370.90,40245.67,11,93,3.42670%,4.44850%,4.46100%,5.59090%,,,,
AAS-O3,AAS,O,3,O3,44,507,34699.13,38553.07,38071.16,45181.76,12,131,35657.75,40933.34,40057.37,48272.11,12,131,3.72900%,4.64900%,4.63230%,5.31010%,,,,
AAS-O4,AAS,O,4,O4,37,369,37530.51,48061.84,47129.44,51641.54,11,102,38555.91,50883.95,51784.60,54648.85,11,102,3.83300%,4.81650%,4.78810%,6.09620%,,,,
AAS-O5,AAS,O,5,O5,25,246,44268.8269,58814.5925,56797.25,59009.958,7,73,51141.15,68931.84,69862.42,70199.96,9,72,4.15191%,5.25914%,5.20850%,7.00027%,,,,
AAS-P1,AAS,P,1,P1,42,431,53268.86,61335.82,61194.75,68279.36,25,255,55595.03,64650.69,65775.61,72225.46,25,255,4.28080%,5.33300%,5.43490%,6.28600%,,,,
AAS-P2,AAS,P,2,P2,42,586,68641.62,74237.08,72841.42,96321.63,26,311,73289.66,79865.22,79537.78,106139.02,26,311,6.33030%,7.20580%,7.16180%,9.98720%,,,,
AAS-P3,AAS,P,3,P3,45,659,76267.10,83948.01,82596.45,109859.27,35,440,81032.45,89869.93,88539.85,121024.18,35,440,6.18270%,7.41150%,7.56200%,10.40430%,,,,
AAS-P4,AAS,P,4,P4,47,542,101993.87,118435.49,120662.08,136646.84,39,369,112306.37,132152.05,128465.01,156547.82,39,369,9.85660%,11.89550%,11.78370%,15.07640%,,,,
AAS-P5,AAS,P,5,P5,37,366,134576.52,163487.65,164860.94,183337.80,31,295,148524.97,189293.73,184182.80,216781.97,31,295,12.70225%,15.35381%,15.46126%,18.98651%,,,,
AAS-T1,AAS,T,1,T1,36,397,41350.91,55893.56,54077.02,52600.15,19,204,42588.63,58562.07,57279.56,55122.31,22,227,3.28851%,4.63118%,4.58977%,4.70696%,,,,
AAS-T2,AAS,T,2,T2,36,491,54015.80,61597.01,61011.83,79510.83,22,251,56676.74,65372.94,63215.63,85596.17,20,303,5.01550%,5.96136%,6.34965%,7.35557%,,,,
AAS-T3,AAS,T,3,T3,43,542,52388.61,69986.09,67823.52,89914.72,31,391,55437.75,74935.83,74995.78,97833.47,33,339,5.25097%,6.21825%,6.24772%,8.25789%,,,,
AAS-T4,AAS,T,4,T4,38,506,84606.06,84299.31,81559.58,104712.54,36,348,91633.86,92232.13,93394.25,116509.74,32,300,8.01884%,9.14138%,9.90289%,10.48309%,,,,
AAS-T5,AAS,T,5,T5,33,341,100210.19,131040.40,128734.09,126173.34,24,278,111041.54,148667.90,144311.93,145886.36,28,228,9.94853%,12.38272%,11.76921%,15.98577%,,,,
AAT-A1,AAT,A,1,A1,,,,,,,,,,,,,,,,,,,,,,
AAT-A2,AAT,A,2,A2,,,,,,,,,,,,,,,,,,,,,,
AAT-A3,AAT,A,3,A3,,,,,,,,,,,,,,,,,,,,,,
AAT-A4,AAT,A,4,A4,,,,,,,,,,,,,,,,,,,,,,
AAT-A5,AAT,A,5,A5,,,,,,,,,,,,,,,,,,,,,,
AAT-L1,AAT,L,1,L1,,,,,,,,,,,,,,,,,,,,,,
AAT-L2,AAT,L,2,L2,,,,,,,,,,,,,,,,,,,,,,
AAT-L3,AAT,L,3,L3,5,53,97748.98,118318.82,116094.42,124319.89,,,,,,,,,,,,,,,,
AAT-L4,AAT,L,4,L4,,,,,,,,,,,,,,,,,,,,,,
AAT-L5,AAT,L,5,L5,,,,,,,,,,,,,,,,,,,,,,
AAT-O1,AAT,O,1,O1,,,,,,,,,,,,,,,,,,,,,,
AAT-O2,AAT,O,2,O2,,,,,,,,,,,,,,,,,,,,,,
AAT-O3,AAT,O,3,O3,,,,,,,,,,,,,,,,,,,,,,
AAT-O4,AAT,O,4,O4,,,,,,,,,,,,,,,,,,,,,,
AAT-O5,AAT,O,5,O5,,,,,,,,,,,,,,,,,,,,,,
AAT-P1,AAT,P,1,P1,,,,,,,,,,,,,,,,,,,,,,
AAT-P2,AAT,P,2,P2,,,,,,,,,,,,,,,,,,,,,,
AAT-P3,AAT,P,3,P3,5,74,60220.06,76976.88,76622.78,83981.31,,,,,,,,,,,,,,,,
AAT-P4,AAT,P,4,P4,5,58,86789.69,100036.20,99856.13,124374.09,,,,,,,,,,,,,,,,
AAT-P5,AAT,P,5,P5,,,,,,,,,,,,,,,,,,,,,,
AAT-T1,AAT,T,1,T1,,,,,,,,,,,,,,,,,,,,,,
AAT-T2,AAT,T,2,T2,,,,,,,,,,,,,,,,,,,,,,
AAT-T3,AAT,T,3,T3,,,,,,,,,,,,,,,,,,,,,,
AAT-T4,AAT,T,4,T4,5,55,68130.90,70711.58,71164.14,87503.70,,,,,,,,,,,,,,,,
AAT-T5,AAT,T,5,T5,,,,,,,,,,,,,,,,,,,,,,
AAU-A1,AAU,A,1,A1,33,426,28184.66,33597.53,34104.85,36871.24,7,79,29055.32,34718.21,33957.88,38570.19,7,76,3.04738%,3.55193%,3.67607%,4.38923%,,,,
AAU-A2,AAU,A,2,A2,33,299,33505.23,38243.43,39000.65,44792.06,9,75,34695.80,39883.05,40042.58,47366.68,10,81,3.76298%,4.23230%,4.52872%,5.67698%,,,,
AAU-A3,AAU,A,3,A3,33,460,40149.98,47554.34,47820.64,50073.62,12,104,41861.76,50093.08,50093.08,52599.39,10,107,4.10224%,5.12344%,5.13354%,5.21787%,,,,
AAU-A4,AAU,A,4,A4,27,390,48461.50,54490.09,54212.19,59297.76,10,108,50565.62,57085.20,56223.21,62843.23,9,97,4.16602%,5.15817%,4.82733%,6.31240%,,,,
AAU-A5,AAU,A,5,A5,21,302,53605.07,65461.24,64512.05,69464.27,9,86,56076.04,68662.86,69054.24,73501.16,8,86,4.51167%,5.24601%,4.86064%,6.36454%,,,,
AAU-L1,AAU,L,1,L1,28,288,75587.76,84740.60,84808.40,92768.59,22,209,79959.10,91041.97,90768.84,102159.00,22,209,5.71439%,7.25174%,7.37860%,9.41345%,,,,
AAU-L2,AAU,L,2,L2,31,345,90628.63,100469.65,98862.13,117864.95,28,263,96659.04,109778.18,110239.25,132589.09,28,263,6.83779%,8.73507%,8.75954%,11.49886%,,,,
AAU-L3,AAU,L,3,L3,36,423,111801.27,118987.21,118225.69,131402.73,33,305,122944.91,134309.29,137196.94,153868.39,33,305,10.29251%,11.97868%,11.80660%,16.96900%,,,,
AAU-L4,AAU,L,4,L4,34,416,153074.23,161975.91,160307.56,165473.87,31,297,173997.26,189527.70,185623.43,202918.83,31,297,14.36074%,17.38000%,17.10000%,23.84000%,,,,
AAU-L5,AAU,L,5,L5,16,35,183299.13,185787.47,187571.03,214653.36,15,31,215527.85,228562.44,228699.57,269937.98,15,31,17.74047%,22.34000%,21.95000%,25.01000%,,,,
AAU-O1,AAU,O,1,O1,32,398,22466.96,26083.91,26336.92,28569.84,7,79,22995.26,26567.00,26213.66,29815.03,7,79,2.41480%,3.05590%,3.03820%,3.47700%,,,,
AAU-O2,AAU,O,2,O2,33,287,25610.51,28921.30,29016.74,33971.08,9,70,26440.12,29783.73,28991.48,34796.02,9,70,3.20300%,3.68590%,3.68150%,4.51080%,,,,
AAU-O3,AAU,O,3,O3,35,417,30214.99,35203.90,34031.61,38832.24,10,106,31644.58,36754.06,35710.24,40034.95,10,106,3.52720%,4.11670%,4.07880%,4.59340%,,,,
AAU-O4,AAU,O,4,O4,29,369,33921.94,41792.61,41520.96,44447.34,9,103,35161.59,42961.88,43872.67,47414.62,9,103,3.29020%,4.15750%,4.11800%,5.31790%,,,,
AAU-O5,AAU,O,5,O5,20,308,40515.542,49338.0617,49180.18,53036.3556,8,82,47053.39,57350.26,55406.08,63555.76,7,67,3.80643%,4.87425%,4.64469%,5.75875%,,,,
AAU-P1,AAU,P,1,P1,33,263,44651.38,55168.06,55002.56,61723.91,20,137,46267.99,57500.21,56476.71,65536.00,20,137,3.85160%,4.46300%,4.46920%,6.40800%,,,,
AAU-P2,AAU,P,2,P2,33,419,60012.90,66292.85,65669.70,78865.40,20,227,63644.67,70915.12,68752.21,84876.33,20,227,4.85100%,6.14360%,6.24370%,6.95820%,,,,
AAU-P3,AAU,P,3,P3,36,509,64870.32,79006.29,76509.69,85730.32,27,342,68434.60,84290.91,82335.36,92946.95,27,342,5.29230%,6.57510%,6.55800%,8.70870%,,,,
AAU-P4,AAU,P,4,P4,37,451,85651.41,100323.17,99149.39,112164.05,31,370,92832.32,110480.68,111817.49,127980.62,31,370,8.10820%,10.21570%,10.36080%,13.39280%,,,,
AAU-P5,AAU,P,5,P5,29,337,116237.48,128237.89,126878.57,178679.31,24,266,126865.95,146761.90,144413.71,212491.55,24,266,10.78017%,13.18681%,13.25540%,17.32091%,,,,
AAU-T1,AAU,T,1,T1,25,228,37398.11,47994.15,48454.90,52304.42,20,131,38565.80,49628.65,48626.15,54994.67,17,106,3.00656%,3.35528%,3.64016%,5.52882%,,,,
AAU-T2,AAU,T,2,T2,30,341,43976.52,53464.46,51609.24,57997.58,19,211,45749.82,56230.11,55442.89,61440.37,17,178,4.02876%,5.42173%,4.94126%,5.99727%,,,,
AAU-T3,AAU,T,3,T3,34,477,50780.96,61602.49,61115.83,68599.75,22,289,53585.89,65189.56,64655.01,73524.94,22,314,4.59266%,5.19038%,4.99457%,6.75098%,,,,
AAU-T4,AAU,T,4,T4,30,428,63352.20,76318.35,75272.79,84806.62,25,351,67543.74,81988.22,80389.45,94577.34,26,336,6.29454%,7.25872%,8.01977%,10.51730%,,,,
AAU-T5,AAU,T,5,T5,28,296,84601.48,89564.38,89600.21,118214.27,23,216,92370.08,99151.31,99438.85,135401.40,20,248,8.42726%,11.07548%,11.09142%,13.75308%,,,,
AAV-A1,AAV,A,1,A1,61,969,31784.95,39646.85,40043.32,47979.27,12,188,32806.38,41198.86,41858.04,50479.26,12,163,3.47376%,4.19391%,4.20882%,5.71709%,,,,
AAV-A2,AAV,A,2,A2,54,513,39644.96,45536.26,45709.30,51938.38,15,114,41401.53,47892.55,47121.48,55139.04,15,130,4.75301%,5.51304%,5.43218%,6.08874%,,,,
AAV-A3,AAV,A,3,A3,55,730,43712.39,51974.44,51745.75,60339.66,18,134,45767.82,54823.07,55979.84,64772.90,17,133,5.17289%,5.55809%,5.73523%,7.09115%,,,,
AAV-A4,AAV,A,4,A4,47,660,50809.37,61050.54,60183.62,70190.45,15,153,53539.48,64538.86,64906.73,75412.57,14,152,5.28032%,5.90881%,6.15168%,7.14621%,,,,
AAV-A5,AAV,A,5,A5,41,495,60513.11,72250.47,69815.63,76698.01,13,114,64362.94,76561.05,77464.47,82933.85,12,122,6.19170%,6.60120%,6.93042%,7.81767%,,,,
AAV-L1,AAV,L,1,L1,46,478,87988.35,96492.69,94321.61,111831.34,36,295,95261.13,104461.51,102664.77,124767.19,36,295,7.51062%,8.56394%,8.54339%,11.23243%,,,,
AAV-L2,AAV,L,2,L2,52,584,99105.88,120658.86,117642.39,133707.38,46,528,107608.29,132488.82,131163.93,149274.78,46,528,7.91817%,9.91754%,10.01372%,11.75230%,,,,
AAV-L3,AAV,L,3,L3,59,638,115693.90,163240.31,159142.98,147908.78,55,537,129795.53,188034.88,188016.08,174218.65,55,537,11.33616%,14.57900%,14.26352%,18.64200%,,,,
AAV-L4,AAV,L,4,L4,55,676,148435.07,174052.20,173721.50,196170.44,51,568,170893.62,208078.59,208036.97,238286.59,51,568,15.80179%,20.15000%,20.03000%,22.92000%,,,,
AAV-L5,AAV,L,5,L5,26,75,178058.10,191882.05,185300.50,227696.96,25,58,213543.13,239501.05,242422.97,303027.24,25,58,20.57496%,23.78000%,25.19000%,33.12000%,,,,
AAV-O1,AAV,O,1,O1,53,829,24893.30,30706.77,31130.52,34559.68,11,159,25909.05,31939.07,30926.60,36743.70,11,159,2.89420%,3.58730%,3.56900%,4.86830%,,,,
AAV-O2,AAV,O,2,O2,54,475,29651.09,35925.50,35767.43,37918.60,14,114,31000.61,37681.12,37146.05,39459.06,14,114,3.84100%,4.44510%,4.48200%,5.19810%,,,,
AAV-O3,AAV,O,3,O3,57,615,33303.63,39527.44,40278.46,46290.60,16,140,34381.86,41968.20,42732.02,49503.95,16,140,4.11730%,4.70120%,4.68190%,6.16520%,,,,
